lang,metric,tree_type,n,mean,std
English,max_arity,real,12023,4.7709,1.9228
English,max_arity,random,1202300,2.7288,0.9753
English,mean_arity,real,12023,0.8875,0.1159
English,mean_arity,random,1202300,0.8875,0.1159
English,max_depth,real,12023,3.6478,1.8411
English,max_depth,random,1202300,6.7679,3.8848
English,mean_depth,real,12023,1.9264,0.8896
English,mean_depth,random,1202300,3.5356,2.0186
English,density,real,12023,0.1555,0.2242
English,density,random,1202300,0.1555,0.2242
English,avg_path_length,real,12023,2.8525,1.0128
English,avg_path_length,random,1202300,3.8146,1.7593
French,max_arity,real,14450,5.4321,1.4603
French,max_arity,random,1445000,3.1542,0.8356
French,mean_arity,real,14450,0.9451,0.0343
French,mean_arity,random,1445000,0.9451,0.0343
French,max_depth,real,14450,4.5857,1.7917
French,max_depth,random,1445000,8.987,3.8597
French,mean_depth,real,14450,2.4118,0.8525
French,mean_depth,random,1445000,4.6838,2.009
French,density,real,14450,0.0596,0.0431
French,density,random,1445000,0.0596,0.0431
French,avg_path_length,real,14450,3.5482,0.9208
French,avg_path_length,random,1445000,4.9083,1.6683
German,max_arity,real,13813,5.3106,1.4462
German,max_arity,random,1381300,2.9734,0.8265
German,mean_arity,real,13813,0.9311,0.0422
German,mean_arity,random,1381300,0.9311,0.0422
German,max_depth,real,13813,3.8223,1.4132
German,max_depth,random,1381300,7.6421,3.2773
German,mean_depth,real,13813,2.0307,0.6683
German,mean_depth,random,1381300,3.9931,1.7026
German,density,real,13813,0.0767,0.0594
German,density,random,1381300,0.0767,0.0594
German,avg_path_length,real,13813,3.0984,0.73
German,avg_path_length,random,1381300,4.24,1.4043
Hindi,max_arity,real,13305,5.8656,1.3591
Hindi,max_arity,random,1330500,3.0813,0.8046
Hindi,mean_arity,real,13305,0.9421,0.0295
Hindi,mean_arity,random,1330500,0.9421,0.0295
Hindi,max_depth,real,13305,4.2534,1.5075
Hindi,max_depth,random,1330500,8.2616,3.1646
Hindi,mean_depth,real,13305,2.2031,0.7043
Hindi,mean_depth,random,1330500,4.3141,1.649
Hindi,density,real,13305,0.0627,0.0374
Hindi,density,random,1330500,0.0627,0.0374
Hindi,avg_path_length,real,13305,3.3122,0.7359
Hindi,avg_path_length,random,1330500,4.5459,1.3099
Spanish,max_arity,real,14187,5.1706,1.4157
Spanish,max_arity,random,1418700,3.2156,0.8472
Spanish,mean_arity,real,14187,0.9485,0.0365
Spanish,mean_arity,random,1418700,0.9485,0.0365
Spanish,max_depth,real,14187,5.002,1.9428
Spanish,max_depth,random,1418700,9.5209,4.1282
Spanish,mean_depth,real,14187,2.6169,0.9199
Spanish,mean_depth,random,1418700,4.9588,2.1505
Spanish,density,real,14187,0.0561,0.0486
Spanish,density,random,1418700,0.0561,0.0486
Spanish,avg_path_length,real,14187,3.7586,0.9871
Spanish,avg_path_length,random,1418700,5.175,1.7946
